,Course Code,Course Title,HEI,R1 Points 2021,R2 Points 2021,R1 Points 2020,R2 Points 2020,R1 Points 2019
332,DC116,Global Business (USA),Dublin City University,613,,,,
333,DC117,Aviation Management / Aviation Management with Pilot Studies,Dublin City University,484,,,,
334,DC118,Gnó agus Gaeilge / Business and Irish,Dublin City University,368,,,,
335,DC119,Global Business (Canada),Dublin City University,601,,,,
336,DC120,Computing for Business,Dublin City University,403,402,,,
337,DC121,Computer Science,Dublin City University,475,,,,
338,DC123,Data Science,Dublin City University,501,,,,
339,DC126,Actuarial Mathematics,Dublin City University,577,,,,
340,DC127,Common Entry into Actuarial and Financial Mathematics,Dublin City University,541,,,,
341,DC131,Communication Studies,Dublin City University,421,,,,
342,DC132,Journalism,Dublin City University,452,,,,
343,DC133,Multimedia,Dublin City University,435,,,,
344,DC155,Applied Language and Translation Studies,Dublin City University,427,,,,
345,DC161,Analytical Science,Dublin City University,498,,,,
346,DC162,Chemical and Pharmaceutical Sciences,Dublin City University,531,,,,
347,DC163,Chemical Sciences General Entry (Undenominated Entry),Dublin City University,466,,,,
348,DC166,Environmental Science and Technology,Dublin City University,423,,,,
349,DC168,Genetics and Cell Biology,Dublin City University,543,,,,
350,DC175,Physics General Entry (options),Dublin City University,400,,,,
351,DC180,Biological Sciences General Entry (Undenominated Entry),Dublin City University,530,,,,
352,DC181,Biotechnology,Dublin City University,530,,,,
353,DC190,Electronic and Computer Engineering (with choice of four majors),Dublin City University,488,,,,
354,DC193,Mechatronic Engineering,Dublin City University,490,,,,
355,DC194,Sustainable Systems and Energy,Dublin City University,476,,,,
356,DC195,Mechanical and Manufacturing Engineering,Dublin City University,500,,,,
357,DC197,Biomedical Engineering,Dublin City University,510,,,,
358,DC200,Common Entry into Engineering (Undenominated Entry),Dublin City University,511,510,,,
359,DC202,Sport Science and Health,Dublin City University,511,,,,
360,DC203,Science Education,Dublin City University,462,,,,
361,DC204,Athletic Therapy and Training,Dublin City University,558,,,,
362,DC205,Physical Education with Biology,Dublin City University,565,,,,
363,DC206,Physical Education with Mathematics,Dublin City University,521,,,,
364,DC207,Psychology and Mathematics,Dublin City University,521,,,,
365,DC208,Psychology,Dublin City University,565,,,,
366,DC209,Health and Society,Dublin City University,477,,,,
367,DC210,Psychology and Disruptive Technologies,Dublin City University,506,,,,
368,DC215,General Nursing,Dublin City University,456,,,,
369,DC216,Mental Health Nursing,Dublin City University,420,,,,
370,DC217,Intellectual Disability Nursing,Dublin City University,382,,,,
371,DC218,Children`s and General Nursing (Integrated),Dublin City University,521,,,,
372,DC230,"Economics, Politics and Law",Dublin City University,431,,,,
373,DC231,International Relations,Dublin City University,398,,,,
374,DC232,Law and Society (BCL),Dublin City University,469,,,,
375,DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),Dublin City University,302,,,,
376,DC238,Social Sciences and Cultural Innovation,Dublin City University,387,,,,
377,DC240,"Marketing, Innovation and Technology",Dublin City University,499,,,,
378,DC241,Digital Business and Innovation,Dublin City University,509,,,,
379,DC291,Arts (Joint Honours) - Media Studies,Dublin City University,350,,,,
380,DC292,Arts (Joint Honours) - Law,Dublin City University,400,,,,
381,DC293,Arts (Joint Honours) - International Languages,Dublin City University,379,,,,
382,DC294,Climate and Environmental Sustainability,Dublin City University,475,,,,
383,DC295,Arts (Joint Honours) - Politics,Dublin City University,349,,,,
384,DL701,Business - Applied Entrepreneurship,"Dun Laoghaire Institute of Art, Design and Technology",162,162,,,
385,DL822,Arts Management,"Dun Laoghaire Institute of Art, Design and Technology",254,,,,
386,DL823,Business Management,"Dun Laoghaire Institute of Art, Design and Technology",220,,,,
387,DL825,Applied Psychology,"Dun Laoghaire Institute of Art, Design and Technology",418,413,,,
388,DL826,Graphic Design,"Dun Laoghaire Institute of Art, Design and Technology",591,,,,
389,DL827,Art,"Dun Laoghaire Institute of Art, Design and Technology",574,,,,
390,DL832,Animation,"Dun Laoghaire Institute of Art, Design and Technology",989,,,,
